word,won,wrong_guesses,repeated_guesses,total_guesses,guesses
marmar,False,6,0,8,"['e', 'a', 'n', 't', 'l', 'r', 'c', 'i']"
janet,False,6,0,10,"['a', 't', 'n', 'e', 'r', 'l', 'b', 'c', 'm', 'i']"
dentistical,True,2,0,11,"['e', 't', 'i', 'n', 's', 'c', 'l', 'a', 'r', 'p', 'd']"
troveless,False,6,0,12,"['i', 'e', 't', 'r', 'n', 'l', 'a', 's', 'o', 'm', 'p', 'd']"
unnotify,False,6,0,11,"['a', 'e', 'i', 't', 'n', 'o', 's', 'c', 'u', 'l', 'd']"
gastrostenosis,False,6,0,14,"['o', 'i', 'n', 'e', 't', 's', 'r', 'u', 'a', 'c', 'p', 'l', 'm', 'h']"
preaffiliation,False,6,0,15,"['o', 'i', 'n', 't', 's', 'a', 'r', 'e', 'l', 'c', 'p', 'm', 'd', 'h', 'b']"
obpyriform,False,6,0,9,"['i', 'e', 'a', 'o', 'n', 'r', 't', 'c', 's']"
veratrinize,False,6,0,12,"['e', 'r', 'a', 't', 'i', 'n', 'l', 's', 'c', 'd', 'p', 'm']"
protection,True,2,0,10,"['i', 'e', 'n', 'a', 't', 's', 'o', 'r', 'c', 'p']"
guileless,False,6,0,10,"['i', 'e', 'r', 'n', 't', 's', 'l', 'a', 'h', 'd']"
phototactic,True,4,0,11,"['e', 'a', 'i', 't', 'n', 's', 'r', 'c', 'o', 'p', 'h']"
triloculate,True,2,0,11,"['e', 'i', 'r', 'a', 't', 'n', 'c', 'o', 'l', 'h', 'u']"
trustee,True,3,0,8,"['e', 'a', 't', 'i', 'o', 'r', 's', 'u']"
sextole,False,6,0,11,"['e', 'r', 't', 'n', 'a', 'i', 's', 'l', 'o', 'c', 'd']"
wusp,False,6,0,6,"['a', 'e', 'o', 'i', 't', 'g']"
shawled,False,6,0,10,"['e', 'r', 'a', 't', 'n', 'l', 's', 'c', 'i', 'm']"
cressed,False,6,0,10,"['e', 'r', 'a', 'n', 't', 's', 'o', 'd', 'p', 'u']"
always,False,6,0,8,"['e', 'a', 't', 'l', 'r', 'n', 'i', 'c']"
guato,False,6,0,10,"['a', 'e', 't', 'i', 'r', 'h', 'l', 'u', 'o', 's']"
undazzling,False,6,0,12,"['i', 'e', 'a', 'r', 't', 'n', 'l', 'o', 'd', 'u', 'c', 's']"
timbromaniac,True,5,0,14,"['e', 'i', 't', 'a', 'n', 'r', 'o', 'l', 'c', 's', 'p', 'm', 'u', 'b']"
unstraightforward,False,6,0,15,"['e', 'o', 'i', 'n', 't', 'a', 'r', 's', 'c', 'l', 'u', 'm', 'h', 'p', 'y']"
bodleian,False,6,0,12,"['a', 'e', 'r', 'n', 't', 'l', 'i', 'o', 'c', 'p', 's', 'u']"
catechesis,True,3,0,10,"['i', 'e', 'r', 'n', 't', 's', 'a', 'l', 'c', 'h']"
atrebates,False,6,0,11,"['i', 'e', 'r', 'a', 't', 'n', 's', 'l', 'c', 'm', 'd']"
drate,False,6,0,10,"['a', 'e', 'r', 't', 'o', 'p', 'b', 'u', 'c', 'g']"
upcrowd,False,6,0,8,"['e', 'a', 'o', 'r', 'n', 's', 't', 'l']"
johnin,False,6,0,9,"['e', 'a', 'o', 'r', 'n', 'i', 'u', 't', 'l']"
ventripyramid,False,6,0,15,"['e', 'r', 'a', 'o', 't', 'n', 'i', 'l', 's', 'c', 'd', 'p', 'h', 'm', 'u']"
demency,False,6,0,10,"['e', 'r', 'n', 't', 'l', 's', 'a', 'd', 'c', 'h']"
muskroot,False,6,0,11,"['a', 'e', 'i', 'o', 'n', 'r', 't', 'u', 's', 'p', 'c']"
inframammary,False,6,0,10,"['e', 'i', 'a', 'n', 't', 'r', 'l', 'c', 'o', 's']"
observandum,False,6,0,14,"['e', 'a', 'r', 'i', 't', 'n', 'o', 'l', 's', 'u', 'c', 'm', 'g', 'p']"
poulard,False,6,0,9,"['e', 'a', 't', 'r', 'i', 'o', 'n', 'm', 'h']"
rotaman,True,4,0,10,"['e', 'a', 'n', 'r', 'i', 't', 'l', 'o', 'c', 'm']"
totonac,True,4,0,9,"['e', 'a', 'r', 'n', 'i', 'o', 'l', 'c', 't']"
eulamellibranchia,False,6,0,16,"['e', 'r', 'a', 't', 'n', 'l', 'i', 'o', 's', 'c', 'd', 'p', 'h', 'm', 'u', 'g']"
brolga,False,6,0,10,"['e', 'a', 'i', 'r', 'l', 'o', 't', 'c', 'u', 'p']"
sleb,False,6,0,9,"['a', 'e', 't', 'r', 'n', 's', 'l', 'y', 'm']"
comic,False,6,0,7,"['a', 'e', 'i', 't', 'r', 'n', 'u']"
dullity,False,6,0,8,"['e', 'a', 'o', 'i', 'n', 't', 'r', 'c']"
annotatory,True,2,0,8,"['i', 'e', 'a', 't', 'n', 'o', 'r', 'y']"
cephalanthous,True,2,0,13,"['e', 'r', 'a', 't', 'n', 'i', 'l', 's', 'o', 'c', 'u', 'h', 'p']"
nongraduated,False,6,0,14,"['e', 'a', 'r', 't', 'n', 'i', 'o', 'l', 'c', 's', 'd', 'g', 'm', 'h']"
thokish,False,6,0,11,"['e', 'a', 'o', 'i', 'n', 't', 'r', 's', 'l', 'h', 'c']"
uncensuring,True,3,0,11,"['e', 'a', 'r', 'i', 'n', 't', 'o', 'c', 'u', 'g', 's']"
eluviation,False,6,0,13,"['i', 't', 'n', 'a', 'o', 'r', 'l', 'e', 's', 'd', 'm', 'y', 'c']"
marcellian,True,1,0,9,"['i', 'e', 'n', 'a', 'r', 't', 'l', 'c', 'm']"
periodicalist,True,1,0,12,"['e', 'r', 'i', 't', 'n', 's', 'l', 'a', 'c', 'd', 'o', 'p']"
bafta,False,6,0,8,"['a', 'r', 'l', 'i', 't', 'n', 's', 'e']"
cingular,False,6,0,13,"['a', 'e', 'r', 'i', 'l', 't', 'n', 'o', 's', 'd', 'g', 'u', 'm']"
isobarometric,False,6,0,15,"['e', 'i', 'n', 't', 'r', 'a', 'c', 'o', 'l', 's', 'm', 'p', 'u', 'g', 'd']"
tonelessly,True,3,0,10,"['i', 'e', 'n', 'r', 'a', 't', 'o', 'l', 's', 'y']"
rebaptize,False,6,0,11,"['i', 'e', 'n', 't', 'r', 's', 'a', 'l', 'c', 'd', 'm']"
sentition,True,3,0,9,"['i', 'a', 't', 'e', 'n', 'o', 'r', 'l', 's']"
presternum,True,4,0,12,"['i', 'e', 'r', 'a', 't', 'o', 's', 'u', 'n', 'p', 'l', 'm']"
mirak,False,6,0,8,"['a', 'e', 'r', 't', 'n', 'l', 'o', 'u']"
gynandromorphous,True,5,0,17,"['i', 'e', 'o', 'n', 'r', 'a', 't', 's', 'u', 'c', 'p', 'l', 'h', 'g', 'd', 'm', 'y']"
memoir,False,6,0,9,"['e', 'r', 'a', 't', 'l', 'n', 'i', 's', 'd']"
inobnoxious,False,6,0,11,"['e', 'a', 'i', 'n', 't', 'o', 'r', 'l', 'u', 's', 'm']"
commorant,True,4,0,11,"['i', 'e', 'a', 'n', 't', 'r', 'o', 'c', 'l', 'p', 'm']"
widdendream,False,6,0,13,"['e', 'r', 'a', 't', 'n', 'l', 'o', 'c', 's', 'i', 'd', 'm', 'p']"
cometic,True,5,0,11,"['e', 'r', 'a', 'n', 't', 'i', 's', 'c', 'l', 'o', 'm']"
costophrenic,True,2,0,12,"['e', 'a', 'o', 'r', 'n', 't', 's', 'i', 'c', 'u', 'p', 'h']"
radially,True,4,0,10,"['a', 'r', 'e', 'n', 't', 'l', 'i', 's', 'd', 'y']"
jumma,False,6,0,9,"['a', 'i', 'e', 'o', 'r', 'n', 'm', 'u', 'h']"
analysis,True,5,0,11,"['a', 'e', 'r', 'n', 't', 'l', 'i', 's', 'o', 'u', 'y']"
murmuration,True,4,0,12,"['e', 'a', 'i', 't', 'n', 'o', 'r', 'p', 'u', 's', 'c', 'm']"
bandboxical,False,6,0,12,"['e', 'a', 'i', 't', 'n', 'r', 'l', 'c', 'o', 's', 'm', 'p']"
circumhorizontal,False,6,0,17,"['i', 'a', 't', 'n', 'o', 'r', 'c', 'l', 'e', 's', 'h', 'p', 'm', 'd', 'u', 'g', 'b']"
unrubbish,False,6,0,11,"['i', 'e', 'a', 'n', 't', 'o', 's', 'r', 'l', 'u', 'm']"
roquelaure,False,6,0,11,"['i', 'e', 'r', 'a', 't', 'n', 'l', 'o', 'c', 'p', 's']"
flaxseed,False,6,0,10,"['a', 'e', 'r', 't', 'n', 'l', 's', 'i', 'u', 'o']"
carcinolytic,True,2,0,11,"['e', 'i', 't', 'a', 'n', 's', 'r', 'c', 'o', 'l', 'y']"
pachyglossate,False,6,0,16,"['e', 'i', 'a', 't', 'r', 'n', 'l', 'c', 'o', 'p', 'u', 'h', 'm', 's', 'y', 'b']"
crackable,False,6,0,12,"['i', 'e', 'a', 'n', 't', 'r', 'l', 'c', 'o', 'h', 'b', 'm']"
unbuoyed,False,6,0,9,"['a', 'e', 'r', 'n', 'o', 'i', 'l', 't', 's']"
adinole,True,5,0,12,"['e', 'a', 'i', 't', 'n', 'l', 'r', 'o', 's', 'h', 'p', 'd']"
glossopalatinus,True,5,0,15,"['a', 'e', 'i', 't', 'n', 'r', 'l', 'o', 's', 'u', 'p', 'b', 'c', 'd', 'g']"
palaeosophy,False,6,0,11,"['e', 'i', 'a', 't', 'r', 'l', 'n', 's', 'c', 'o', 'm']"
afterglow,False,6,0,12,"['i', 'e', 'a', 'r', 't', 'n', 's', 'o', 'l', 'c', 'u', 'p']"
apoplastogamous,True,5,0,14,"['a', 't', 'i', 'e', 'n', 'r', 'l', 's', 'o', 'c', 'u', 'm', 'p', 'g']"
guaiol,False,6,0,8,"['e', 'a', 'n', 'i', 'c', 's', 'r', 't']"
utriculoplastic,True,2,0,12,"['a', 'e', 'i', 't', 'n', 's', 'r', 'c', 'o', 'l', 'u', 'p']"
agral,False,6,0,9,"['a', 'r', 'e', 't', 'n', 'l', 'o', 'c', 'u']"
nictitation,True,2,0,8,"['e', 'a', 'i', 't', 'n', 's', 'o', 'c']"
proficiently,False,6,0,16,"['e', 'a', 'r', 't', 'i', 'n', 'o', 's', 'l', 'c', 'p', 'm', 'd', 'y', 'u', 'g']"
quaternity,False,6,0,12,"['i', 'e', 'n', 'a', 'r', 't', 'h', 'o', 'l', 'c', 's', 'm']"
unoppignorated,True,4,0,15,"['o', 'i', 'n', 'a', 't', 'e', 'r', 's', 'l', 'u', 'c', 'd', 'm', 'p', 'g']"
foreact,False,6,0,12,"['e', 'r', 'a', 't', 'n', 's', 'l', 'o', 'c', 'm', 'i', 'y']"
cholecystenterorrhaphy,True,2,0,14,"['o', 'i', 'e', 'r', 't', 'n', 's', 'l', 'a', 'c', 'h', 'p', 'u', 'y']"
rivery,False,6,0,9,"['e', 'a', 'r', 'i', 'n', 't', 's', 'l', 'o']"
pauropodous,False,6,0,9,"['e', 'a', 'i', 't', 'n', 'r', 'o', 'l', 'c']"
kelpie,False,6,0,9,"['e', 'r', 't', 'l', 'i', 'n', 's', 'a', 'd']"
imbirussu,False,6,0,8,"['i', 'a', 'n', 'e', 't', 's', 'c', 'o']"
unfaint,False,6,0,11,"['e', 'a', 'i', 'r', 'n', 't', 'o', 'c', 'd', 'u', 'p']"
oviculated,False,6,0,15,"['i', 'e', 't', 'a', 'r', 'n', 's', 'l', 'c', 'o', 'd', 'u', 'm', 'p', 'g']"
cyanosed,False,6,0,13,"['a', 'e', 'r', 't', 'n', 'l', 's', 'o', 'c', 'i', 'h', 'd', 'u']"
punitionally,True,2,0,11,"['e', 'i', 't', 'a', 'n', 'o', 'l', 'u', 's', 'y', 'p']"
tinamine,True,4,0,10,"['a', 'e', 'n', 'i', 't', 'l', 'r', 's', 'c', 'm']"
aristocraticalness,True,0,0,10,"['e', 'o', 'r', 'a', 't', 'n', 'i', 's', 'c', 'l']"
