word,won,wrong_guesses,repeated_guesses,total_guesses,guesses
marmar,False,6,0,8,"['e', 'a', 'n', 't', 'r', 'i', 'l', 'o']"
janet,False,6,0,10,"['a', 'l', 'r', 'e', 'n', 's', 't', 'm', 'p', 'g']"
dentistical,True,2,0,11,"['e', 'a', 'i', 't', 'n', 's', 'l', 'c', 'r', 'p', 'd']"
troveless,False,6,0,12,"['e', 'r', 'a', 't', 'n', 'l', 's', 'i', 'o', 'm', 'p', 'd']"
unnotify,False,6,0,11,"['e', 'o', 'i', 't', 'r', 'n', 'a', 's', 'c', 'u', 'l']"
gastrostenosis,False,6,0,14,"['e', 'a', 't', 'i', 'n', 's', 'o', 'r', 'c', 'p', 'l', 'm', 'h', 'u']"
preaffiliation,False,6,0,15,"['e', 'i', 't', 'n', 'a', 'r', 'o', 'l', 'c', 'p', 's', 'm', 'd', 'h', 'b']"
obpyriform,False,6,0,9,"['e', 'i', 'a', 't', 'n', 's', 'r', 'o', 'c']"
veratrinize,False,6,0,12,"['e', 't', 'i', 'n', 'r', 'a', 'l', 's', 'c', 'd', 'p', 'm']"
protection,True,2,0,10,"['e', 'r', 'a', 'i', 't', 'n', 'o', 's', 'c', 'p']"
guileless,False,6,0,10,"['e', 'r', 'i', 't', 'n', 's', 'l', 'a', 'h', 'd']"
phototactic,True,4,0,11,"['e', 'i', 'o', 'n', 'r', 't', 'a', 's', 'c', 'p', 'h']"
triloculate,True,2,0,11,"['e', 'i', 't', 'a', 'r', 'n', 'c', 'o', 'l', 'h', 'u']"
trustee,True,3,0,8,"['e', 'a', 'i', 't', 'o', 'r', 's', 'u']"
sextole,False,6,0,11,"['e', 'r', 'i', 'n', 'l', 'a', 't', 's', 'o', 'c', 'd']"
wusp,False,6,0,8,"['a', 'o', 'e', 'i', 't', 's', 'u', 'q']"
shawled,False,6,0,10,"['e', 'r', 'a', 'i', 'n', 'l', 't', 'c', 's', 'u']"
cressed,False,6,0,10,"['e', 'r', 'a', 't', 'n', 's', 'o', 'd', 'p', 'u']"
always,False,6,0,8,"['e', 'a', 'l', 'i', 't', 'r', 'n', 'c']"
guato,False,6,0,9,"['a', 'r', 'e', 't', 'i', 'o', 'l', 's', 'p']"
undazzling,False,6,0,12,"['e', 'i', 'a', 'n', 't', 'r', 'l', 'o', 'c', 'd', 'u', 's']"
timbromaniac,True,5,0,14,"['e', 'a', 'i', 't', 'n', 'r', 'o', 'l', 'c', 's', 'p', 'm', 'u', 'b']"
unstraightforward,False,6,0,15,"['e', 'o', 'i', 'n', 't', 'a', 'r', 's', 'c', 'l', 'u', 'm', 'h', 'p', 'y']"
bodleian,False,6,0,13,"['e', 'a', 'r', 'n', 't', 'l', 'i', 'o', 'c', 'u', 'p', 'b', 'v']"
catechesis,True,3,0,10,"['e', 'r', 'n', 't', 's', 'a', 'i', 'l', 'c', 'h']"
atrebates,False,6,0,11,"['e', 'r', 'a', 't', 'n', 's', 'l', 'i', 'c', 'm', 'd']"
drate,False,6,0,10,"['a', 'r', 'e', 't', 's', 'o', 'p', 'm', 'u', 'g']"
upcrowd,False,6,0,7,"['e', 'a', 'i', 'o', 'n', 'l', 's']"
johnin,False,6,0,9,"['e', 'a', 'i', 'n', 'o', 'r', 'u', 't', 'l']"
ventripyramid,False,6,0,15,"['e', 'i', 't', 'a', 'n', 'r', 'l', 's', 'c', 'o', 'd', 'p', 'h', 'm', 'u']"
demency,False,6,0,10,"['e', 'r', 'n', 't', 'l', 's', 'd', 'a', 'c', 'o']"
muskroot,False,6,0,11,"['e', 'o', 'i', 'n', 'r', 'a', 't', 'u', 's', 'p', 'c']"
inframammary,False,6,0,10,"['e', 'a', 't', 'n', 'r', 'i', 'l', 'c', 'o', 's']"
observandum,False,6,0,14,"['e', 'r', 'i', 'a', 't', 'n', 'o', 'l', 's', 'u', 'c', 'm', 'g', 'p']"
poulard,False,6,0,11,"['e', 'a', 'r', 'o', 'n', 't', 'i', 's', 'p', 'l', 'g']"
rotaman,True,4,0,10,"['e', 'a', 't', 'n', 'r', 'i', 'l', 'o', 'c', 'm']"
totonac,True,2,0,7,"['e', 'a', 'i', 'n', 't', 'o', 'c']"
eulamellibranchia,False,6,0,16,"['e', 'r', 'a', 't', 'n', 'l', 'i', 'o', 's', 'c', 'd', 'p', 'h', 'm', 'u', 'g']"
brolga,False,6,0,10,"['e', 'a', 'i', 'r', 'o', 'n', 't', 'l', 'u', 'p']"
sleb,False,6,0,9,"['a', 'o', 'e', 'r', 'l', 'n', 's', 'y', 't']"
comic,False,6,0,7,"['a', 'e', 'i', 'n', 't', 's', 'f']"
dullity,False,6,0,8,"['e', 'a', 'i', 'n', 't', 'o', 'r', 'h']"
annotatory,True,2,0,8,"['e', 'i', 'o', 'n', 'r', 'a', 't', 'y']"
cephalanthous,True,2,0,13,"['e', 'i', 'a', 't', 'r', 'n', 'l', 's', 'o', 'c', 'u', 'h', 'p']"
nongraduated,False,6,0,14,"['e', 'o', 'r', 'a', 't', 'n', 'l', 'c', 's', 'i', 'd', 'g', 'm', 'h']"
thokish,False,6,0,9,"['e', 'a', 'i', 'n', 't', 'o', 'r', 'l', 'c']"
uncensuring,True,3,0,11,"['e', 'r', 'a', 'i', 'n', 't', 'o', 'c', 'u', 'g', 's']"
eluviation,False,6,0,13,"['e', 'a', 'i', 't', 'n', 'r', 'o', 'l', 's', 'm', 'd', 'y', 'c']"
marcellian,True,1,0,9,"['e', 'r', 'a', 'i', 't', 'n', 'l', 'c', 'm']"
periodicalist,True,1,0,12,"['e', 'i', 't', 'n', 's', 'r', 'l', 'a', 'c', 'd', 'o', 'p']"
bafta,False,6,0,8,"['a', 'i', 'r', 't', 'n', 'l', 'c', 's']"
cingular,False,6,0,12,"['e', 'o', 'i', 'a', 'n', 'l', 't', 'r', 's', 'd', 'g', 'b']"
isobarometric,False,6,0,15,"['e', 'i', 'n', 't', 'r', 'a', 'c', 'o', 'l', 's', 'm', 'p', 'u', 'g', 'd']"
tonelessly,True,3,0,10,"['e', 'r', 'n', 'a', 't', 'i', 'o', 'l', 's', 'y']"
rebaptize,False,6,0,11,"['e', 'r', 'a', 't', 'n', 'i', 's', 'l', 'c', 'd', 'm']"
sentition,True,3,0,9,"['e', 'r', 'i', 't', 'n', 'a', 'o', 'l', 's']"
presternum,True,4,0,12,"['e', 'r', 'a', 'i', 't', 'o', 's', 'u', 'n', 'p', 'l', 'm']"
mirak,False,6,0,8,"['a', 'n', 'e', 'r', 't', 'l', 'o', 'p']"
gynandromorphous,True,5,0,17,"['e', 'i', 'a', 'o', 'n', 'r', 't', 's', 'u', 'c', 'p', 'l', 'h', 'g', 'd', 'm', 'y']"
memoir,False,6,0,10,"['e', 'r', 'a', 'o', 'n', 't', 's', 'l', 'm', 'u']"
inobnoxious,False,6,0,11,"['e', 'i', 'a', 'n', 't', 'o', 'r', 'l', 'u', 's', 'm']"
commorant,True,3,0,10,"['e', 'o', 'i', 'n', 't', 'r', 'a', 'c', 'l', 'm']"
widdendream,False,6,0,13,"['e', 'r', 'a', 't', 'n', 'l', 'o', 'c', 's', 'i', 'd', 'm', 'p']"
cometic,True,5,0,11,"['e', 'r', 'a', 't', 'i', 's', 'c', 'l', 'n', 'o', 'm']"
costophrenic,True,2,0,12,"['e', 'a', 'o', 'r', 't', 'n', 's', 'i', 'c', 'u', 'p', 'h']"
radially,True,5,0,11,"['e', 'o', 'i', 'a', 't', 'r', 'l', 'n', 's', 'd', 'y']"
jumma,False,6,0,7,"['a', 'e', 'i', 'o', 'n', 'r', 'c']"
analysis,True,4,0,10,"['e', 'o', 'i', 'a', 't', 'n', 'l', 's', 'u', 'y']"
murmuration,True,4,0,12,"['e', 'i', 'a', 't', 'n', 'o', 'r', 'p', 'u', 's', 'c', 'm']"
bandboxical,False,6,0,12,"['e', 'i', 'o', 'n', 't', 'a', 'r', 'l', 'c', 's', 'm', 'p']"
circumhorizontal,False,6,0,17,"['e', 'i', 'a', 't', 'n', 'o', 'r', 'c', 'l', 's', 'h', 'p', 'm', 'd', 'u', 'g', 'b']"
unrubbish,False,6,0,11,"['e', 'o', 'a', 'i', 'n', 't', 's', 'r', 'l', 'u', 'm']"
roquelaure,False,6,0,11,"['e', 'r', 'a', 't', 'n', 'i', 'l', 'o', 'c', 'p', 's']"
flaxseed,False,6,0,10,"['e', 'a', 'r', 't', 'n', 'l', 's', 'i', 'u', 'o']"
carcinolytic,True,2,0,11,"['e', 'a', 'i', 't', 'n', 's', 'r', 'c', 'o', 'l', 'y']"
pachyglossate,False,6,0,16,"['e', 'i', 'a', 't', 'r', 'n', 'l', 'c', 'o', 'p', 'u', 'h', 'm', 's', 'y', 'b']"
